country,partner_country,year,import_value_usd,import_weight_tonnes
Afghanistan,China,2018,0,0.001
Afghanistan,China,2019,4,0.001
Afghanistan,Croatia,2017,0,0.0
Afghanistan,Croatia,2018,0,0.0
Afghanistan,Croatia,2019,4,0.001
Afghanistan,France,2008,4,0.001
Afghanistan,France,2009,0,0.0
Afghanistan,France,2010,0,0.0
Afghanistan,France,2011,0,0.0
Afghanistan,France,2015,0,0.0
Afghanistan,France,2016,0,0.0
Afghanistan,France,2017,4,0.001
Afghanistan,France,2018,0,0.001
Afghanistan,France,2019,4,0.001
Afghanistan,Germany,2008,4,0.001
Afghanistan,Germany,2009,0,0.0
Afghanistan,Germany,2010,0,0.0
Afghanistan,Germany,2011,0,0.0
Afghanistan,Germany,2013,0,0.0
Afghanistan,Germany,2014,0,0.0
Afghanistan,Germany,2015,0,0.0
Afghanistan,Germany,2016,0,0.0
Afghanistan,Germany,2017,4,0.001
Afghanistan,Germany,2018,0,0.001
Afghanistan,Germany,2019,4,0.001
Afghanistan,India,2008,4,0.001
Afghanistan,India,2009,0,0.0
Afghanistan,India,2010,0,0.0
Afghanistan,India,2011,0,0.0
Afghanistan,India,2013,0,0.0
Afghanistan,India,2014,0,0.0
Afghanistan,India,2015,0,0.0
Afghanistan,India,2016,0,0.0
Afghanistan,India,2017,4,0.001
Afghanistan,India,2018,0,0.001
Afghanistan,India,2019,4,0.001
Afghanistan,Iran,2008,4,0.001
Afghanistan,Iran,2009,0,0.0
Afghanistan,Iran,2010,0,0.0
Afghanistan,Iran,2011,0,0.0
Afghanistan,Iran,2013,0,0.0
Afghanistan,Iran,2014,0,0.0
Afghanistan,Iran,2015,0,0.0
Afghanistan,Iran,2016,0,0.0
Afghanistan,Iran,2017,4,0.001
Afghanistan,Iran,2018,0,0.001
Afghanistan,Iran,2019,4,0.001
Afghanistan,Iraq,2009,0,0.0
Afghanistan,Iraq,2010,0,0.0
Afghanistan,Iraq,2011,0,0.0
Afghanistan,Iraq,2015,0,0.0
Afghanistan,Iraq,2017,0,0.0
Afghanistan,Iraq,2018,0,0.0
Afghanistan,Iraq,2019,0,0.0
Afghanistan,Israel,2015,0,0.0
Afghanistan,Israel,2016,0,0.0
Afghanistan,Israel,2017,4,0.001
Afghanistan,Israel,2018,0,0.001
Afghanistan,Israel,2019,0,0.0
Afghanistan,Italy,2008,4,0.001
Afghanistan,Italy,2009,0,0.0
Afghanistan,Italy,2010,0,0.0
Afghanistan,Italy,2011,0,0.0
Afghanistan,Italy,2015,0,0.0
Afghanistan,Italy,2016,0,0.0
Afghanistan,Italy,2017,4,0.001
Afghanistan,Italy,2018,0,0.001
Afghanistan,Italy,2019,4,0.001
Afghanistan,Japan,2008,4,0.001
Afghanistan,Japan,2009,0,0.0
Afghanistan,Japan,2010,0,0.0
Afghanistan,Japan,2011,0,0.0
Afghanistan,Japan,2013,0,0.0
Afghanistan,Japan,2014,0,0.0
Afghanistan,Japan,2015,0,0.0
Afghanistan,Japan,2016,0,0.0
Afghanistan,Japan,2017,4,0.001
Afghanistan,Japan,2018,0,0.001
Afghanistan,Japan,2019,4,0.001
Afghanistan,Pakistan,2008,4,0.001
Afghanistan,Pakistan,2009,0,0.0
Afghanistan,Pakistan,2010,0,0.0
Afghanistan,Pakistan,2011,0,0.0
Afghanistan,Pakistan,2013,0,0.0
Afghanistan,Pakistan,2014,0,0.0
Afghanistan,Pakistan,2015,0,0.0
Afghanistan,Pakistan,2016,0,0.0
Afghanistan,Pakistan,2017,4,0.001
Afghanistan,Pakistan,2018,0,0.001
Afghanistan,Pakistan,2019,4,0.001
Afghanistan,Portugal,2015,0,0.0
Afghanistan,Portugal,2016,0,0.0
Afghanistan,Portugal,2017,4,0.001
Afghanistan,Portugal,2018,0,0.001
Afghanistan,Portugal,2019,4,0.001
Afghanistan,Russia,2008,4,0.001
Afghanistan,Russia,2009,0,0.0
Afghanistan,Russia,2010,0,0.0
Afghanistan,Russia,2011,0,0.0
Afghanistan,Russia,2015,0,0.0
Afghanistan,Russia,2016,0,0.0
Afghanistan,Russia,2017,4,0.001
Afghanistan,Russia,2018,0,0.001
Afghanistan,Russia,2019,4,0.001
Afghanistan,Saudi Arabia,2008,4,0.001
Afghanistan,Saudi Arabia,2009,0,0.0
Afghanistan,Saudi Arabia,2010,0,0.0
Afghanistan,Saudi Arabia,2011,0,0.0
Afghanistan,Saudi Arabia,2015,0,0.0
Afghanistan,Saudi Arabia,2016,0,0.0
Afghanistan,Saudi Arabia,2017,4,0.001
Afghanistan,Saudi Arabia,2018,0,0.001
Afghanistan,Saudi Arabia,2019,4,0.001
Afghanistan,Spain,2008,4,0.001
Afghanistan,Spain,2009,0,0.0
Afghanistan,Spain,2010,0,0.0
Afghanistan,Spain,2011,0,0.0
Afghanistan,Spain,2015,0,0.0
Afghanistan,Spain,2016,0,0.0
Afghanistan,Spain,2017,4,0.001
Afghanistan,Spain,2018,0,0.001
Afghanistan,Spain,2019,4,0.001
Afghanistan,Sri Lanka,2008,0,0.0
Afghanistan,Sri Lanka,2009,0,0.0
Afghanistan,Sri Lanka,2010,0,0.0
Afghanistan,Sri Lanka,2011,0,0.0
Afghanistan,Sri Lanka,2015,0,0.0
Afghanistan,Sri Lanka,2016,0,0.0
Afghanistan,Sri Lanka,2017,4,0.001
Afghanistan,Sri Lanka,2018,0,0.001
Afghanistan,Sri Lanka,2019,4,0.001
Afghanistan,Sweden,2008,4,0.001
Afghanistan,Sweden,2009,0,0.0
Afghanistan,Sweden,2010,0,0.0
Afghanistan,Sweden,2011,0,0.0
Afghanistan,Sweden,2015,0,0.0
Afghanistan,Sweden,2016,0,0.0
Afghanistan,Sweden,2017,4,0.001
Afghanistan,Sweden,2018,0,0.001
Afghanistan,Sweden,2019,4,0.001
Afghanistan,UK,2008,4,0.001
Afghanistan,UK,2009,0,0.0
Afghanistan,UK,2010,0,0.0
Afghanistan,UK,2011,0,0.0
Afghanistan,UK,2013,0,0.0
Afghanistan,UK,2014,0,0.0
Afghanistan,UK,2015,0,0.0
Afghanistan,UK,2016,0,0.0
Afghanistan,UK,2017,4,0.001
Afghanistan,UK,2018,0,0.001
Afghanistan,UK,2019,4,0.001
Afghanistan,USA,2008,4,0.001
Afghanistan,USA,2009,0,0.0
Afghanistan,USA,2010,0,0.0
Afghanistan,USA,2011,0,0.0
Afghanistan,USA,2015,0,0.0
Afghanistan,USA,2016,0,0.0
Afghanistan,USA,2017,4,0.001
Afghanistan,USA,2018,0,0.001
Afghanistan,USA,2019,4,0.001
Argentina,Afghanistan,2001,0,0.0
Argentina,Afghanistan,2003,0,0.0
Argentina,Afghanistan,2004,0,0.0
Argentina,Afghanistan,2006,0,0.0
Argentina,Afghanistan,2007,0,0.0
Argentina,Afghanistan,2008,0,0.0
Argentina,Afghanistan,2010,0,0.0
Argentina,Afghanistan,2011,0,0.0
Argentina,Afghanistan,2013,0,0.0
Argentina,Afghanistan,2014,0,0.0
Argentina,Afghanistan,2015,0,0.0
Argentina,Afghanistan,2016,0,0.0
Argentina,Afghanistan,2017,0,0.0
Argentina,Afghanistan,2018,0,0.0
Argentina,Afghanistan,2019,0,0.0
Argentina,Afghanistan,2020,4,0.001
Argentina,Afghanistan,2021,0,0.0
Argentina,Afghanistan,2022,0,0.0
Argentina,Afghanistan,2023,0,0.0
Argentina,Afghanistan,2024,0,0.0
Argentina,Argentina,2006,0,0.0
Argentina,Argentina,2008,0,0.0
Argentina,Argentina,2009,0,0.0
Argentina,Argentina,2010,0,0.0
Argentina,Argentina,2011,0,0.0
Argentina,Argentina,2013,0,0.0
Argentina,Argentina,2014,0,0.001
Argentina,Argentina,2015,0,0.001
Argentina,Argentina,2016,0,0.0
Argentina,Argentina,2017,0,0.001
Argentina,Argentina,2018,4,0.001
Argentina,Argentina,2019,0,0.0
Argentina,Argentina,2021,4,0.001
Argentina,Argentina,2022,4,0.001
Argentina,Argentina,2023,4,0.001
Argentina,Argentina,2024,4,0.001
Argentina,Australia,2000,0,0.0
Argentina,Australia,2001,0,0.0
Argentina,Australia,2002,0,0.0
Argentina,Australia,2003,0,0.0
Argentina,Australia,2004,0,0.0
Argentina,Australia,2005,0,0.0
Argentina,Australia,2006,0,0.0
Argentina,Australia,2007,0,0.0
Argentina,Australia,2008,0,0.0
Argentina,Australia,2009,0,0.0
Argentina,Australia,2010,0,0.0
Argentina,Australia,2011,0,0.0
Argentina,Australia,2013,0,0.0
Argentina,Australia,2014,0,0.001
Argentina,Australia,2015,0,0.001
Argentina,Australia,2016,0,0.001
Argentina,Australia,2017,0,0.001
Argentina,Australia,2018,4,0.001
Argentina,Australia,2019,4,0.001
Argentina,Australia,2020,4,0.001
Argentina,Australia,2021,4,0.001
Argentina,Australia,2022,4,0.001
Argentina,Australia,2023,4,0.001
Argentina,Australia,2024,4,0.001
Argentina,Bangladesh,2000,0,0.0
Argentina,Bangladesh,2001,0,0.0
Argentina,Bangladesh,2002,0,0.0
Argentina,Bangladesh,2003,0,0.0
Argentina,Bangladesh,2004,0,0.0
Argentina,Bangladesh,2005,0,0.0
Argentina,Bangladesh,2006,0,0.0
Argentina,Bangladesh,2007,0,0.0
Argentina,Bangladesh,2008,0,0.0
Argentina,Bangladesh,2009,0,0.0
Argentina,Bangladesh,2010,0,0.0
Argentina,Bangladesh,2011,0,0.0
Argentina,Bangladesh,2013,0,0.0
Argentina,Bangladesh,2014,0,0.0
Argentina,Bangladesh,2015,0,0.0
Argentina,Bangladesh,2016,0,0.001
Argentina,Bangladesh,2017,0,0.0
Argentina,Bangladesh,2018,4,0.001
Argentina,Bangladesh,2019,0,0.0
Argentina,Bangladesh,2020,0,0.0
Argentina,Bangladesh,2021,0,0.0
Argentina,Bangladesh,2022,0,0.0
Argentina,Bangladesh,2023,0,0.0
Argentina,Bangladesh,2024,0,0.0
Argentina,Belgium,2000,0,0.0
Argentina,Belgium,2001,0,0.0
Argentina,Belgium,2002,0,0.0
Argentina,Belgium,2003,0,0.0
Argentina,Belgium,2004,0,0.0
Argentina,Belgium,2005,0,0.0
Argentina,Belgium,2006,0,0.0
Argentina,Belgium,2007,0,0.0
Argentina,Belgium,2008,0,0.0
Argentina,Belgium,2009,0,0.0
Argentina,Belgium,2010,0,0.0
Argentina,Belgium,2011,0,0.0
Argentina,Belgium,2013,0,0.0
Argentina,Belgium,2014,0,0.001
Argentina,Belgium,2015,0,0.001
Argentina,Belgium,2016,0,0.001
Argentina,Belgium,2017,0,0.001
Argentina,Belgium,2018,4,0.001
Argentina,Belgium,2019,4,0.001
Argentina,Belgium,2020,4,0.001
Argentina,Belgium,2021,4,0.001
Argentina,Belgium,2022,4,0.001
Argentina,Belgium,2023,4,0.001
Argentina,Belgium,2024,4,0.001
Argentina,Canada,2000,0,0.0
Argentina,Canada,2001,0,0.0
Argentina,Canada,2002,0,0.0
Argentina,Canada,2003,0,0.0
Argentina,Canada,2004,0,0.0
Argentina,Canada,2005,0,0.0
Argentina,Canada,2006,0,0.0
Argentina,Canada,2007,0,0.0
Argentina,Canada,2008,0,0.0
Argentina,Canada,2009,0,0.0
Argentina,Canada,2010,0,0.0
Argentina,Canada,2011,0,0.0
Argentina,Canada,2013,0,0.0
Argentina,Canada,2014,0,0.001
Argentina,Canada,2015,0,0.001
Argentina,Canada,2016,0,0.001
Argentina,Canada,2017,0,0.001
Argentina,Canada,2018,4,0.001
Argentina,Canada,2019,4,0.001
Argentina,Canada,2020,4,0.001
Argentina,Canada,2021,4,0.001
Argentina,Canada,2022,4,0.001
Argentina,Canada,2023,4,0.001
Argentina,Canada,2024,4,0.001
Argentina,China,2000,0,0.0
Argentina,China,2001,0,0.0
Argentina,China,2002,0,0.0
Argentina,China,2003,0,0.0
Argentina,China,2004,0,0.0
Argentina,China,2005,0,0.0
Argentina,China,2006,0,0.0
Argentina,China,2007,0,0.0
Argentina,China,2008,0,0.0
Argentina,China,2009,0,0.0
Argentina,China,2010,0,0.0
Argentina,China,2011,0,0.0
Argentina,China,2013,0,0.0
Argentina,China,2014,0,0.001
Argentina,China,2015,0,0.001
Argentina,China,2016,0,0.001
Argentina,China,2017,0,0.001
Argentina,China,2018,4,0.001
Argentina,China,2019,4,0.001
Argentina,China,2020,4,0.001
Argentina,China,2021,4,0.001
Argentina,China,2022,4,0.001
Argentina,China,2023,4,0.001
Argentina,China,2024,4,0.001
Argentina,Croatia,2000,0,0.0
Argentina,Croatia,2001,0,0.0
Argentina,Croatia,2002,0,0.0
Argentina,Croatia,2003,0,0.0
Argentina,Croatia,2004,0,0.0
Argentina,Croatia,2005,0,0.0
Argentina,Croatia,2006,0,0.0
Argentina,Croatia,2007,0,0.0
Argentina,Croatia,2008,0,0.0
Argentina,Croatia,2009,0,0.0
Argentina,Croatia,2010,0,0.0
Argentina,Croatia,2011,0,0.0
Argentina,Croatia,2013,0,0.0
Argentina,Croatia,2014,0,0.001
Argentina,Croatia,2015,0,0.0
Argentina,Croatia,2016,0,0.001
Argentina,Croatia,2017,0,0.001
Argentina,Croatia,2018,0,0.0
Argentina,Croatia,2019,0,0.0
Argentina,Croatia,2020,0,0.0
Argentina,Croatia,2021,4,0.001
Argentina,Croatia,2022,0,0.0
Argentina,Croatia,2023,4,0.001
Argentina,Croatia,2024,4,0.001
Argentina,France,2000,0,0.0
Argentina,France,2001,0,0.0
Argentina,France,2002,0,0.0
Argentina,France,2003,0,0.0
Argentina,France,2004,0,0.0
Argentina,France,2005,0,0.0
Argentina,France,2006,0,0.0
Argentina,France,2007,0,0.0
Argentina,France,2008,0,0.0
Argentina,France,2009,0,0.0
Argentina,France,2010,0,0.0
Argentina,France,2011,0,0.0
Argentina,France,2013,0,0.0
Argentina,France,2014,0,0.001
Argentina,France,2015,0,0.001
Argentina,France,2016,0,0.001
Argentina,France,2017,0,0.001
Argentina,France,2018,4,0.001
Argentina,France,2019,4,0.001
Argentina,France,2020,4,0.001
Argentina,France,2021,4,0.001
Argentina,France,2022,4,0.001
Argentina,France,2023,4,0.001
Argentina,France,2024,4,0.001
Argentina,Germany,2000,0,0.0
Argentina,Germany,2001,0,0.0
Argentina,Germany,2002,0,0.0
Argentina,Germany,2003,0,0.0
Argentina,Germany,2004,0,0.0
Argentina,Germany,2005,0,0.0
Argentina,Germany,2006,0,0.0
Argentina,Germany,2007,0,0.0
Argentina,Germany,2008,0,0.0
Argentina,Germany,2009,0,0.0
Argentina,Germany,2010,0,0.0
Argentina,Germany,2011,0,0.0
Argentina,Germany,2013,0,0.0
Argentina,Germany,2014,0,0.001
Argentina,Germany,2015,0,0.001
Argentina,Germany,2016,0,0.001
Argentina,Germany,2017,0,0.001
Argentina,Germany,2018,4,0.001
Argentina,Germany,2019,4,0.001
Argentina,Germany,2020,4,0.001
Argentina,Germany,2021,4,0.001
Argentina,Germany,2022,4,0.001
Argentina,Germany,2023,4,0.001
Argentina,Germany,2024,4,0.001
Argentina,India,2000,0,0.0
Argentina,India,2001,0,0.0
Argentina,India,2002,0,0.0
Argentina,India,2003,0,0.0
Argentina,India,2004,0,0.0
Argentina,India,2005,0,0.0
Argentina,India,2006,0,0.0
Argentina,India,2007,0,0.0
Argentina,India,2008,0,0.0
Argentina,India,2009,0,0.0
Argentina,India,2010,0,0.0
Argentina,India,2011,0,0.0
Argentina,India,2013,0,0.0
Argentina,India,2014,0,0.001
Argentina,India,2015,0,0.001
Argentina,India,2016,0,0.001
Argentina,India,2017,0,0.001
Argentina,India,2018,4,0.001
Argentina,India,2019,4,0.001
Argentina,India,2020,4,0.001
Argentina,India,2021,4,0.001
Argentina,India,2022,4,0.001
Argentina,India,2023,4,0.001
Argentina,India,2024,4,0.001
Argentina,Iran,2000,0,0.0
Argentina,Iran,2001,0,0.0
Argentina,Iran,2002,0,0.0
Argentina,Iran,2003,0,0.0
Argentina,Iran,2004,0,0.0
Argentina,Iran,2005,0,0.0
Argentina,Iran,2006,0,0.0
Argentina,Iran,2007,0,0.0
Argentina,Iran,2008,0,0.0
Argentina,Iran,2009,0,0.0
Argentina,Iran,2010,0,0.0
Argentina,Iran,2011,0,0.0
Argentina,Iran,2013,0,0.0
Argentina,Iran,2014,0,0.0
Argentina,Iran,2015,0,0.0
Argentina,Iran,2016,0,0.0
Argentina,Iran,2017,0,0.0
Argentina,Iran,2018,4,0.001
Argentina,Iran,2019,0,0.0
Argentina,Iran,2020,0,0.0
Argentina,Iran,2021,0,0.0
Argentina,Iran,2022,0,0.0
Argentina,Iran,2023,0,0.0
Argentina,Iran,2024,0,0.0
Argentina,Iraq,2000,0,0.0
Argentina,Iraq,2010,0,0.0
Argentina,Iraq,2011,0,0.0
Argentina,Iraq,2013,0,0.0
Argentina,Iraq,2014,0,0.0
Argentina,Iraq,2015,0,0.0
Argentina,Iraq,2016,0,0.0
Argentina,Iraq,2017,0,0.0
Argentina,Iraq,2018,0,0.0
Argentina,Iraq,2019,0,0.0
Argentina,Iraq,2020,0,0.0
Argentina,Iraq,2021,0,0.0
Argentina,Iraq,2022,0,0.0
Argentina,Iraq,2023,0,0.0
Argentina,Iraq,2024,0,0.0
Argentina,Israel,2000,0,0.0
Argentina,Israel,2001,0,0.0
Argentina,Israel,2002,0,0.0
Argentina,Israel,2003,0,0.0
Argentina,Israel,2004,0,0.0
Argentina,Israel,2005,0,0.0
Argentina,Israel,2006,0,0.0
Argentina,Israel,2007,0,0.0
Argentina,Israel,2008,0,0.0
Argentina,Israel,2009,0,0.0
Argentina,Israel,2010,0,0.0
Argentina,Israel,2011,0,0.0
Argentina,Israel,2013,0,0.0
Argentina,Israel,2014,0,0.001
Argentina,Israel,2015,0,0.001
Argentina,Israel,2016,0,0.001
Argentina,Israel,2017,0,0.001
Argentina,Israel,2018,4,0.001
Argentina,Israel,2019,4,0.001
Argentina,Israel,2020,4,0.001
Argentina,Israel,2021,4,0.001
Argentina,Israel,2022,4,0.001
Argentina,Israel,2023,4,0.001
Argentina,Israel,2024,4,0.001
Argentina,Italy,2000,0,0.0
Argentina,Italy,2001,0,0.0
Argentina,Italy,2002,0,0.0
Argentina,Italy,2003,0,0.0
Argentina,Italy,2004,0,0.0
Argentina,Italy,2005,0,0.0
Argentina,Italy,2006,0,0.0
Argentina,Italy,2007,0,0.0
Argentina,Italy,2008,0,0.0
Argentina,Italy,2009,0,0.0
Argentina,Italy,2010,0,0.0
Argentina,Italy,2011,0,0.0
Argentina,Italy,2013,0,0.0
Argentina,Italy,2014,0,0.001
Argentina,Italy,2015,0,0.001
Argentina,Italy,2016,0,0.001
Argentina,Italy,2017,0,0.001
Argentina,Italy,2018,4,0.001
Argentina,Italy,2019,4,0.001
Argentina,Italy,2020,4,0.001
Argentina,Italy,2021,4,0.001
Argentina,Italy,2022,4,0.001
Argentina,Italy,2023,4,0.001
Argentina,Italy,2024,4,0.001
Argentina,Japan,2000,0,0.0
Argentina,Japan,2001,0,0.0
Argentina,Japan,2002,0,0.0
Argentina,Japan,2003,0,0.0
Argentina,Japan,2004,0,0.0
Argentina,Japan,2005,0,0.0
Argentina,Japan,2006,0,0.0
Argentina,Japan,2007,0,0.0
Argentina,Japan,2008,0,0.0
Argentina,Japan,2009,0,0.0
Argentina,Japan,2010,0,0.0
Argentina,Japan,2011,0,0.0
Argentina,Japan,2013,0,0.0
Argentina,Japan,2014,0,0.001
Argentina,Japan,2015,0,0.001
Argentina,Japan,2016,0,0.001
Argentina,Japan,2017,0,0.001
Argentina,Japan,2018,4,0.001
Argentina,Japan,2019,4,0.001
Argentina,Japan,2020,4,0.001
Argentina,Japan,2021,4,0.001
Argentina,Japan,2022,4,0.001
Argentina,Japan,2023,4,0.001
Argentina,Japan,2024,4,0.001
Argentina,Pakistan,2000,0,0.0
Argentina,Pakistan,2001,0,0.0
Argentina,Pakistan,2002,0,0.0
Argentina,Pakistan,2003,0,0.0
Argentina,Pakistan,2004,0,0.0
Argentina,Pakistan,2005,0,0.0
Argentina,Pakistan,2006,0,0.0
Argentina,Pakistan,2007,0,0.0
Argentina,Pakistan,2008,0,0.0
Argentina,Pakistan,2009,0,0.0
Argentina,Pakistan,2010,0,0.0
Argentina,Pakistan,2011,0,0.0
Argentina,Pakistan,2013,0,0.0
Argentina,Pakistan,2014,0,0.0
Argentina,Pakistan,2015,0,0.0
Argentina,Pakistan,2016,0,0.0
Argentina,Pakistan,2017,0,0.0
Argentina,Pakistan,2018,4,0.001
Argentina,Pakistan,2019,0,0.0
Argentina,Pakistan,2020,0,0.0
Argentina,Pakistan,2021,0,0.0
Argentina,Pakistan,2022,0,0.0
Argentina,Pakistan,2023,0,0.0
Argentina,Pakistan,2024,0,0.0
Argentina,Portugal,2000,0,0.0
Argentina,Portugal,2001,0,0.0
Argentina,Portugal,2002,0,0.0
Argentina,Portugal,2003,0,0.0
Argentina,Portugal,2004,0,0.0
Argentina,Portugal,2005,0,0.0
Argentina,Portugal,2006,0,0.0
Argentina,Portugal,2007,0,0.0
Argentina,Portugal,2008,0,0.0
Argentina,Portugal,2009,0,0.0
Argentina,Portugal,2010,0,0.0
Argentina,Portugal,2011,0,0.0
Argentina,Portugal,2013,0,0.0
Argentina,Portugal,2014,0,0.001
Argentina,Portugal,2015,0,0.001
Argentina,Portugal,2016,0,0.001
Argentina,Portugal,2017,0,0.001
Argentina,Portugal,2018,4,0.001
Argentina,Portugal,2019,4,0.001
Argentina,Portugal,2020,4,0.001
Argentina,Portugal,2021,4,0.001
Argentina,Portugal,2022,4,0.001
Argentina,Portugal,2023,4,0.001
Argentina,Portugal,2024,4,0.001
Argentina,Russia,2000,0,0.0
Argentina,Russia,2001,0,0.0
Argentina,Russia,2002,0,0.0
Argentina,Russia,2003,0,0.0
Argentina,Russia,2004,0,0.0
Argentina,Russia,2005,0,0.0
Argentina,Russia,2006,0,0.0
Argentina,Russia,2007,0,0.0
Argentina,Russia,2008,0,0.0
Argentina,Russia,2009,0,0.0
Argentina,Russia,2010,0,0.0
Argentina,Russia,2011,0,0.0
Argentina,Russia,2013,0,0.0
Argentina,Russia,2014,0,0.001
Argentina,Russia,2015,0,0.001
Argentina,Russia,2016,0,0.001
Argentina,Russia,2017,0,0.001
Argentina,Russia,2018,4,0.001
Argentina,Russia,2019,4,0.001
Argentina,Russia,2020,4,0.001
Argentina,Russia,2021,4,0.001
Argentina,Russia,2022,4,0.001
Argentina,Russia,2023,4,0.001
Argentina,Russia,2024,0,0.0
Argentina,Saudi Arabia,2000,0,0.0
Argentina,Saudi Arabia,2001,0,0.0
Argentina,Saudi Arabia,2002,0,0.0
Argentina,Saudi Arabia,2003,0,0.0
Argentina,Saudi Arabia,2004,0,0.0
Argentina,Saudi Arabia,2005,0,0.0
Argentina,Saudi Arabia,2006,0,0.0
Argentina,Saudi Arabia,2007,0,0.0
Argentina,Saudi Arabia,2008,0,0.0
Argentina,Saudi Arabia,2009,0,0.0
Argentina,Saudi Arabia,2010,0,0.0
Argentina,Saudi Arabia,2011,0,0.0
Argentina,Saudi Arabia,2013,0,0.0
Argentina,Saudi Arabia,2014,0,0.0
Argentina,Saudi Arabia,2015,0,0.0
Argentina,Saudi Arabia,2016,0,0.0
Argentina,Saudi Arabia,2017,0,0.0
Argentina,Saudi Arabia,2018,0,0.0
Argentina,Saudi Arabia,2019,0,0.0
Argentina,Saudi Arabia,2020,0,0.0
Argentina,Saudi Arabia,2021,0,0.0
Argentina,Saudi Arabia,2022,0,0.0
Argentina,Saudi Arabia,2023,0,0.0
Argentina,Saudi Arabia,2024,0,0.0
Argentina,Spain,2000,0,0.0
Argentina,Spain,2001,0,0.0
Argentina,Spain,2002,0,0.0
Argentina,Spain,2003,0,0.0
Argentina,Spain,2004,0,0.0
Argentina,Spain,2005,0,0.0
Argentina,Spain,2006,0,0.0
Argentina,Spain,2007,0,0.0
Argentina,Spain,2008,0,0.0
Argentina,Spain,2009,0,0.0
Argentina,Spain,2010,0,0.0
Argentina,Spain,2011,0,0.0
Argentina,Spain,2013,0,0.0
Argentina,Spain,2014,0,0.001
Argentina,Spain,2015,0,0.001
Argentina,Spain,2016,0,0.001
Argentina,Spain,2017,0,0.001
Argentina,Spain,2018,4,0.001
Argentina,Spain,2019,4,0.001
Argentina,Spain,2020,4,0.001
Argentina,Spain,2021,4,0.001
Argentina,Spain,2022,0,0.0
Argentina,Spain,2023,4,0.001
Argentina,Spain,2024,4,0.001
Argentina,Sri Lanka,2000,0,0.0
Argentina,Sri Lanka,2001,0,0.0
Argentina,Sri Lanka,2002,0,0.0
Argentina,Sri Lanka,2003,0,0.0
Argentina,Sri Lanka,2004,0,0.0
Argentina,Sri Lanka,2005,0,0.0
Argentina,Sri Lanka,2006,0,0.0
Argentina,Sri Lanka,2007,0,0.0
Argentina,Sri Lanka,2008,0,0.0
Argentina,Sri Lanka,2009,0,0.0
Argentina,Sri Lanka,2010,0,0.0
Argentina,Sri Lanka,2011,0,0.0
Argentina,Sri Lanka,2013,0,0.0
Argentina,Sri Lanka,2014,0,0.0
Argentina,Sri Lanka,2015,0,0.001
Argentina,Sri Lanka,2016,0,0.0
Argentina,Sri Lanka,2017,0,0.0
Argentina,Sri Lanka,2018,4,0.001
Argentina,Sri Lanka,2019,0,0.0
Argentina,Sri Lanka,2020,4,0.001
Argentina,Sri Lanka,2021,0,0.0
Argentina,Sri Lanka,2022,0,0.0
Argentina,Sri Lanka,2023,0,0.0
Argentina,Sri Lanka,2024,0,0.0
Argentina,Sweden,2000,0,0.0
Argentina,Sweden,2001,0,0.0
Argentina,Sweden,2002,0,0.0
Argentina,Sweden,2003,0,0.0
Argentina,Sweden,2004,0,0.0
Argentina,Sweden,2005,0,0.0
